Spatial ID,Output DER Types,All Sectors,Act vs Sim,Output Periods,Incremental Count (Calibration),Cumulative Count (Calibration),Incremental MW-AC (Calibration),Cumulative MW-AC (Calibration)
92072,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92075,Solar PV,Residential,Simulated,28-Feb-2012,2.16074318,96.20593409,0.01348544,0.44014971
92078,Solar PV,Residential,Simulated,28-Feb-2012,9.59952409,337.87331074,0.05251494,0.98331491
92081,Solar PV,Residential,Simulated,28-Feb-2012,3.52824493,79.91347041,0.01783334,0.32985779
92082,Solar PV,Residential,Simulated,28-Feb-2012,9.21108106,241.01088599,0.0770915,1.42637686
92083,Solar PV,Residential,Simulated,28-Feb-2012,2.70400251,50.29310211,0.0129045,0.18076064
92084,Solar PV,Residential,Simulated,28-Feb-2012,8.72289984,239.09307195,0.05755319,1.19107909
92085,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92086,Solar PV,Residential,Simulated,28-Feb-2012,0.41406155,15.8279298,0.00360651,0.08551133
92091,Solar PV,Residential,Simulated,28-Feb-2012,0.28809131,3.56561463,0.00245497,0.01871989
92092,Solar PV,Residential,Simulated,28-Feb-2012,0.00607652,0.01221751,0.00003574,0.00007186
92093,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92096,Solar PV,Residential,Simulated,28-Feb-2012,0,0,0,0
92101,Solar PV,Residential,Simulated,28-Feb-2012,0.24453248,3.49151773,0.00162233,0.01216093
92102,Solar PV,Residential,Simulated,28-Feb-2012,2.05331799,59.03698696,0.00952794,0.12772768
92103,Solar PV,Residential,Simulated,28-Feb-2012,1.67462242,150.97954593,0.00957293,0.56840348
92104,Solar PV,Residential,Simulated,28-Feb-2012,3.12087298,128.15205023,0.01345189,0.39958116
92105,Solar PV,Residential,Simulated,28-Feb-2012,3.50575447,112.9021994,0.016763,0.30070334
92106,Solar PV,Residential,Simulated,28-Feb-2012,4.00082366,103.82157979,0.02396824,0.48529273
92107,Solar PV,Residential,Simulated,28-Feb-2012,2.54561405,100.00302722,0.01251927,0.36199776
92108,Solar PV,Residential,Simulated,28-Feb-2012,0.93676503,36.87515818,0.0093353,0.19658682
92109,Solar PV,Residential,Simulated,28-Feb-2012,0.16675719,423.33532493,0.00075635,1.02560792
92110,Solar PV,Residential,Simulated,28-Feb-2012,4.16810097,88.15519257,0.02189715,0.33178137
